ユーザID,年齢,性別,居住地域,職業,所得水準,教育レベル,家族構成,興味・関心,デバイス利用状況
f91d8271-ebc4-4617-b9d1-1293ae064d7a,65+,女性,埼玉県,販売員,700-1000万円,専門学校卒,独身,スポーツ,マルチデバイス
34de6f0f-35c7-4f56-bd5a-94bdfecbaf50,45-54,女性,徳島県,経営者,1000万円以上,大学院卒,子供あり,投資,スマホ中心
dd365ba6-0ec6-403e-a076-2b054d51eb18,18-24,その他,佐賀県,公務員,700-1000万円,大学院卒,既婚,スポーツ,マルチデバイス
5ad39549-72b3-41fd-bfea-8ca3e9f3e0ee,35-44,男性,富山県,無職,300万円未満,大学院卒,独身,読書,PC中心
48207045-897e-4319-ba52-39bbf0e9fb45,45-54,男性,奈良県,研究者,300万円未満,大卒,子供あり,ファッション,スマホ中心
a4693ed3-6445-4489-befd-f2a60fee2706,55-64,女性,兵庫県,アーティスト,300-500万円,高卒,独身,音楽,マルチデバイス
1eb7710c-7350-41dd-a66f-77c50becebaa,45-54,その他,東京都,販売員,1000万円以上,専門学校卒,子供あり,ファッション,スマホ中心
3bea64a0-9389-416d-819f-5a40f9c19fe2,35-44,その他,鳥取県,エンジニア,700-1000万円,大学院卒,既婚,スポーツ,マルチデバイス
0a8d4e2d-3bbb-4824-9664-5514a89f879f,25-34,その他,京都府,エンジニア,1000万円以上,高卒,既婚,旅行,マルチデバイス
66a22bda-94fb-4d9f-a423-34bd1c456cc5,25-34,男性,広島県,無職,700-1000万円,大学院卒,既婚,料理,PC中心
